cluster,seq_num,fm_num,gn_num,fm_rate,gn_rate,major_family,major_genus,cutoff,positive,negative,Segment
cluster32,6,1,1,{'Secoviridae': 1.0},{'Fabavirus': 1.0},Secoviridae,Fabavirus,305.75,1737.2,146.7,2
cluster33,3,1,1,{'Secoviridae': 1.0},{'Fabavirus': 1.0},Secoviridae,Fabavirus,378.65,1442.0,260.5,2
cluster34,20,1,1,{'Partitiviridae': 1.0},{'Betapartitivirus': 1.0},Partitiviridae,Betapartitivirus,283.91,862.7,219.6,1
cluster35,10,1,1,{'Partitiviridae': 1.0},{'Betapartitivirus': 1.0},Partitiviridae,Betapartitivirus,88.29,882.9,0.0,2
cluster36,4,1,1,{'Partitiviridae': 1.0},{'Betapartitivirus': 1.0},Partitiviridae,Betapartitivirus,132.49,1324.9,0.0,2
cluster37,3,1,1,{'Partitiviridae': 1.0},{'Betapartitivirus': 1.0},Partitiviridae,Betapartitivirus,132.36,1224.6,11.0,2
cluster38,7,1,1,{'Spinareoviridae': 1.0},{'Fijivirus': 1.0},Spinareoviridae,Fijivirus,318.13,2195.8,109.5,1
cluster39,7,1,1,{'Spinareoviridae': 1.0},{'Fijivirus': 1.0},Spinareoviridae,Fijivirus,114.65,1079.9,7.4,6
cluster40,6,1,1,{'Spinareoviridae': 1.0},{'Fijivirus': 1.0},Spinareoviridae,Fijivirus,75.86,656.0,11.4,7
cluster41,6,1,1,{'Spinareoviridae': 1.0},{'Fijivirus': 1.0},Spinareoviridae,Fijivirus,38.87,388.7,0.0,7
cluster42,6,1,1,{'Spinareoviridae': 1.0},{'Fijivirus': 1.0},Spinareoviridae,Fijivirus,50.87,508.7,0.0,9
cluster43,6,1,1,{'Spinareoviridae': 1.0},{'Fijivirus': 1.0},Spinareoviridae,Fijivirus,31.02,310.2,0.0,9
cluster44,6,1,1,{'Spinareoviridae': 1.0},{'Fijivirus': 1.0},Spinareoviridae,Fijivirus,124.17,972.6,29.9,8
cluster45,6,1,1,{'Spinareoviridae': 1.0},{'Fijivirus': 1.0},Spinareoviridae,Fijivirus,98.99,989.9,0.0,10
cluster46,6,1,1,{'Spinareoviridae': 1.0},{'Fijivirus': 1.0},Spinareoviridae,Fijivirus,147.99,1479.9,0.0,5
cluster47,6,1,1,{'Spinareoviridae': 1.0},{'Fijivirus': 1.0},Spinareoviridae,Fijivirus,219.97,2199.7,0.0,3
cluster48,6,1,1,{'Spinareoviridae': 1.0},{'Fijivirus': 1.0},Spinareoviridae,Fijivirus,196.83,1968.3,0.0,4
cluster49,6,1,1,{'Spinareoviridae': 1.0},{'Fijivirus': 1.0},Spinareoviridae,Fijivirus,245.55,2352.9,11.4,2
cluster50,13,1,1,{'Spinareoviridae': 1.0},{'Orthoreovirus': 1.0},Spinareoviridae,Orthoreovirus,1049.75,1727.0,974.5,L1
cluster51,13,1,1,{'Spinareoviridae': 1.0},{'Orthoreovirus': 1.0},Spinareoviridae,Orthoreovirus,1452.86,1979.9,1394.3,L2
cluster52,13,1,1,{'Spinareoviridae': 1.0},{'Orthoreovirus': 1.0},Spinareoviridae,Orthoreovirus,959.23,1511.2,897.9,L2
cluster53,13,1,1,{'Spinareoviridae': 1.0},{'Orthoreovirus': 1.0},Spinareoviridae,Orthoreovirus,330.28,809.8,277.0,M1
cluster54,13,1,1,{'Spinareoviridae': 1.0},{'Orthoreovirus': 1.0},Spinareoviridae,Orthoreovirus,367.39,832.6,315.7,M2
cluster55,12,1,1,{'Spinareoviridae': 1.0},{'Orthoreovirus': 1.0},Spinareoviridae,Orthoreovirus,183.37,573.7,140.0,S2
cluster56,10,1,1,{'Spinareoviridae': 1.0},{'Orthoreovirus': 1.0},Spinareoviridae,Orthoreovirus,146.2,760.0,78.0,M3
cluster57,10,1,1,{'Spinareoviridae': 1.0},{'Orthoreovirus': 1.0},Spinareoviridae,Orthoreovirus,76.8,453.9,34.9,S3
cluster58,10,1,1,{'Spinareoviridae': 1.0},{'Orthoreovirus': 1.0},Spinareoviridae,Orthoreovirus,42.85,428.5,0.0,S3
cluster59,5,1,1,{'Spinareoviridae': 1.0},{'Orthoreovirus': 1.0},Spinareoviridae,Orthoreovirus,30.54,167.7,15.3,S1
cluster60,3,1,1,{'Spinareoviridae': 1.0},{'Orthoreovirus': 1.0},Spinareoviridae,Orthoreovirus,77.2,625.3,16.3,S1
cluster61,2,1,1,{'Spinareoviridae': 1.0},{'Orthoreovirus': 1.0},Spinareoviridae,Orthoreovirus,201.84,1728.6,32.2,M3
cluster62,2,1,1,{'Spinareoviridae': 1.0},{'Orthoreovirus': 1.0},Spinareoviridae,Orthoreovirus,75.59,597.5,17.6,S1
cluster63,2,1,1,{'Spinareoviridae': 1.0},{'Orthoreovirus': 1.0},Spinareoviridae,Orthoreovirus,83.47,686.2,16.5,"{nan, 'S1'}"
cluster64,2,1,1,{'Spinareoviridae': 1.0},{'Orthoreovirus': 1.0},Spinareoviridae,Orthoreovirus,89.47,894.7,0.0,S3
cluster65,2,1,1,{'Spinareoviridae': 1.0},{'Orthoreovirus': 1.0},Spinareoviridae,Orthoreovirus,89.56,895.6,0.0,S4
cluster66,2,1,1,{'Spinareoviridae': 1.0},{'Orthoreovirus': 1.0},Spinareoviridae,Orthoreovirus,104.58,1045.8,0.0,S1
cluster67,2,1,1,{'Spinareoviridae': 1.0},{'Orthoreovirus': 1.0},Spinareoviridae,Orthoreovirus,41.44,242.5,19.1,"{nan, 'S1'}"
cluster68,2,1,1,{'Spinareoviridae': 1.0},{'Orthoreovirus': 1.0},Spinareoviridae,Orthoreovirus,33.69,336.9,0.0,S1
cluster69,2,1,1,{'Spinareoviridae': 1.0},{'Orthoreovirus': 1.0},Spinareoviridae,Orthoreovirus,8.49,84.9,0.0,S4
cluster70,2,1,1,{'Chuviridae': 1.0},{'Chuvivirus': 1.0},Chuviridae,Chuvivirus,780.5,1268.3,726.3,2
cluster71,2,1,1,{'Chuviridae': 1.0},{'Chuvivirus': 1.0},Chuviridae,Chuvivirus,605.28,1261.2,532.4,2
cluster72,2,1,1,{'Chuviridae': 1.0},{'Chuvivirus': 1.0},Chuviridae,Chuvivirus,3169.39,4183.6,3056.7,1
cluster73,5,1,1,{'Chuviridae': 1.0},{'Scarabeuvirus': 1.0},Chuviridae,Scarabeuvirus,2040.23,3400.4,1889.1,1
cluster74,4,1,1,{'Chuviridae': 1.0},{'Scarabeuvirus': 1.0},Chuviridae,Scarabeuvirus,659.39,1090.4,611.5,2
cluster75,4,1,1,{'Chuviridae': 1.0},{'Scarabeuvirus': 1.0},Chuviridae,Scarabeuvirus,301.55,635.0,264.5,2
cluster76,45,1,1,{'Arenaviridae': 1.0},{'Mammarenavirus': 1.0},Arenaviridae,Mammarenavirus,911.47,2888.5,691.8,L
cluster77,45,1,1,{'Arenaviridae': 1.0},{'Mammarenavirus': 1.0},Arenaviridae,Mammarenavirus,65.18,651.8,0.0,S
cluster78,45,1,1,{'Arenaviridae': 1.0},{'Mammarenavirus': 1.0},Arenaviridae,Mammarenavirus,365.73,861.0,310.7,S
cluster79,3,1,1,{'Arenaviridae': 1.0},{'Mammarenavirus': 1.0},Arenaviridae,Mammarenavirus,15.69,156.9,0.0,L
cluster80,11,1,1,{'Chrysoviridae': 1.0},{'Betachrysovirus': 1.0},Chrysoviridae,Betachrysovirus,407.82,1602.3,275.1,1
cluster81,9,1,1,{'Chrysoviridae': 1.0},{'Betachrysovirus': 1.0},Chrysoviridae,Betachrysovirus,87.05,870.5,0.0,4
cluster82,9,1,1,{'Chrysoviridae': 1.0},{'Betachrysovirus': 1.0},Chrysoviridae,Betachrysovirus,107.87,929.3,16.6,2
cluster83,8,1,1,{'Chrysoviridae': 1.0},{'Betachrysovirus': 1.0},Chrysoviridae,Betachrysovirus,80.3,803.0,0.0,3
cluster84,2,1,1,{'Chrysoviridae': 1.0},{'Betachrysovirus': 1.0},Chrysoviridae,Betachrysovirus,177.39,1773.9,0.0,3
cluster85,2,1,1,{'Chrysoviridae': 1.0},{'Betachrysovirus': 1.0},Chrysoviridae,Betachrysovirus,180.56,1805.6,0.0,2
cluster86,2,1,1,{'Chrysoviridae': 1.0},{'Betachrysovirus': 1.0},Chrysoviridae,Betachrysovirus,175.32,1753.2,0.0,4
cluster87,2,1,1,{'Chrysoviridae': 1.0},{'Betachrysovirus': 1.0},Chrysoviridae,Betachrysovirus,10.48,104.8,0.0,"{'4', '2'}"
cluster88,25,1,1,{'Tospoviridae': 1.0},{'Orthotospovirus': 1.0},Tospoviridae,Orthotospovirus,628.13,3879.2,266.9,L
cluster89,25,1,1,{'Tospoviridae': 1.0},{'Orthotospovirus': 1.0},Tospoviridae,Orthotospovirus,246.3,1285.8,130.8,M
cluster90,24,1,1,{'Tospoviridae': 1.0},{'Orthotospovirus': 1.0},Tospoviridae,Orthotospovirus,49.58,387.8,12.0,M
cluster91,15,1,1,{'Tospoviridae': 1.0},{'Orthotospovirus': 1.0},Tospoviridae,Orthotospovirus,44.9,331.1,13.1,S
cluster92,14,1,1,{'Tospoviridae': 1.0},{'Orthotospovirus': 1.0},Tospoviridae,Orthotospovirus,79.15,703.3,9.8,S
cluster93,9,1,1,{'Tospoviridae': 1.0},{'Orthotospovirus': 1.0},Tospoviridae,Orthotospovirus,60.26,359.6,27.0,S
cluster94,7,1,1,{'Tospoviridae': 1.0},{'Orthotospovirus': 1.0},Tospoviridae,Orthotospovirus,82.08,820.8,0.0,S
cluster95,3,1,1,{'Tospoviridae': 1.0},{'Orthotospovirus': 1.0},Tospoviridae,Orthotospovirus,9.38,93.8,0.0,M
cluster96,2,1,1,{'Tospoviridae': 1.0},{'Orthotospovirus': 1.0},Tospoviridae,Orthotospovirus,104.56,943.9,11.3,S
cluster97,6,1,1,{'Peribunyaviridae': 1.0},{'Pacuvirus': 1.0},Peribunyaviridae,Pacuvirus,2687.9,4631.0,2472.0,L
cluster98,5,1,1,{'Peribunyaviridae': 1.0},{'Pacuvirus': 1.0},Peribunyaviridae,Pacuvirus,182.21,449.6,152.5,S
cluster99,5,1,1,{'Peribunyaviridae': 1.0},{'Pacuvirus': 1.0},Peribunyaviridae,Pacuvirus,1070.02,2867.5,870.3,M
cluster100,7,1,1,{'Spinareoviridae': 1.0},{'Coltivirus': 1.0},Spinareoviridae,Coltivirus,206.74,1730.8,37.4,4
cluster101,6,1,1,{'Spinareoviridae': 1.0},{'Coltivirus': 1.0},Spinareoviridae,Coltivirus,549.57,2149.5,371.8,2
cluster102,5,1,1,{'Spinareoviridae': 1.0},{'Coltivirus': 1.0},Spinareoviridae,Coltivirus,164.15,1022.3,68.8,10
cluster103,5,1,1,{'Spinareoviridae': 1.0},{'Coltivirus': 1.0},Spinareoviridae,Coltivirus,215.82,1862.1,32.9,3
cluster104,5,1,1,{'Spinareoviridae': 1.0},{'Coltivirus': 1.0},Spinareoviridae,Coltivirus,55.16,551.6,0.0,9
cluster105,5,1,1,{'Spinareoviridae': 1.0},{'Coltivirus': 1.0},Spinareoviridae,Coltivirus,43.64,342.8,10.4,9
cluster106,5,1,1,{'Spinareoviridae': 1.0},{'Coltivirus': 1.0},Spinareoviridae,Coltivirus,866.0,2841.5,646.5,1
cluster107,4,1,1,{'Spinareoviridae': 1.0},{'Coltivirus': 1.0},Spinareoviridae,Coltivirus,32.29,214.0,12.1,12
cluster108,3,1,1,{'Spinareoviridae': 1.0},{'Coltivirus': 1.0},Spinareoviridae,Coltivirus,156.11,1371.2,21.1,5
cluster109,3,1,1,{'Spinareoviridae': 1.0},{'Coltivirus': 1.0},Spinareoviridae,Coltivirus,103.94,1039.4,0.0,6
cluster110,2,1,1,{'Spinareoviridae': 1.0},{'Coltivirus': 1.0},Spinareoviridae,Coltivirus,138.45,1254.0,14.5,7
cluster111,2,1,1,{'Spinareoviridae': 1.0},{'Coltivirus': 1.0},Spinareoviridae,Coltivirus,69.83,601.1,10.8,11
cluster112,2,1,1,{'Spinareoviridae': 1.0},{'Coltivirus': 1.0},Spinareoviridae,Coltivirus,188.7,1761.9,13.9,5
cluster113,2,1,1,{'Spinareoviridae': 1.0},{'Coltivirus': 1.0},Spinareoviridae,Coltivirus,145.35,1453.5,0.0,"{'7', '6'}"
cluster114,2,1,1,{'Spinareoviridae': 1.0},{'Coltivirus': 1.0},Spinareoviridae,Coltivirus,165.17,1484.3,18.6,"{'7', '6'}"
cluster115,2,1,1,{'Spinareoviridae': 1.0},{'Coltivirus': 1.0},Spinareoviridae,Coltivirus,148.51,1485.1,0.0,8
cluster116,2,1,1,{'Spinareoviridae': 1.0},{'Coltivirus': 1.0},Spinareoviridae,Coltivirus,78.69,673.5,12.6,11
cluster117,26,1,1,{'Fimoviridae': 1.0},{'Emaravirus': 1.0},Fimoviridae,Emaravirus,571.42,2504.8,356.6,1
cluster118,13,1,1,{'Fimoviridae': 1.0},{'Emaravirus': 1.0},Fimoviridae,Emaravirus,108.24,893.4,21.0,2
cluster119,13,1,1,{'Fimoviridae': 1.0},{'Emaravirus': 1.0},Fimoviridae,Emaravirus,57.98,429.5,16.7,3
cluster120,12,1,1,{'Fimoviridae': 1.0},{'Emaravirus': 1.0},Fimoviridae,Emaravirus,47.04,470.4,0.0,4
cluster121,10,1,1,{'Fimoviridae': 1.0},{'Emaravirus': 1.0},Fimoviridae,Emaravirus,61.69,616.9,0.0,5
cluster122,8,1,1,{'Fimoviridae': 1.0},{'Emaravirus': 1.0},Fimoviridae,Emaravirus,29.39,293.9,0.0,6
cluster123,7,1,1,{'Fimoviridae': 1.0},{'Emaravirus': 1.0},Fimoviridae,Emaravirus,66.91,476.5,21.4,4
cluster124,7,1,1,{'Fimoviridae': 1.0},{'Emaravirus': 1.0},Fimoviridae,Emaravirus,69.27,537.0,17.3,4
cluster125,6,1,1,{'Fimoviridae': 1.0},{'Emaravirus': 1.0},Fimoviridae,Emaravirus,104.0,907.7,14.7,2
cluster126,6,1,1,{'Fimoviridae': 1.0},{'Emaravirus': 1.0},Fimoviridae,Emaravirus,58.35,367.5,24.0,3
cluster127,5,1,1,{'Fimoviridae': 1.0},{'Emaravirus': 1.0},Fimoviridae,Emaravirus,84.67,702.7,16.0,2
cluster128,4,1,1,{'Fimoviridae': 1.0},{'Emaravirus': 1.0},Fimoviridae,Emaravirus,62.3,424.1,22.1,3
cluster129,4,1,1,{'Fimoviridae': 1.0},{'Emaravirus': 1.0},Fimoviridae,Emaravirus,180.82,429.4,153.2,nan
cluster130,4,1,1,{'Fimoviridae': 1.0},{'Emaravirus': 1.0},Fimoviridae,Emaravirus,26.96,269.6,0.0,6
cluster131,3,1,1,{'Fimoviridae': 1.0},{'Emaravirus': 1.0},Fimoviridae,Emaravirus,33.37,333.7,0.0,6
cluster132,3,1,1,{'Fimoviridae': 1.0},{'Emaravirus': 1.0},Fimoviridae,Emaravirus,144.2,445.7,110.7,5
cluster133,3,1,1,{'Fimoviridae': 1.0},{'Emaravirus': 1.0},Fimoviridae,Emaravirus,53.34,388.5,16.1,3
cluster134,2,1,1,{'Fimoviridae': 1.0},{'Emaravirus': 1.0},Fimoviridae,Emaravirus,73.45,594.1,15.6,3
cluster135,2,1,1,{'Fimoviridae': 1.0},{'Emaravirus': 1.0},Fimoviridae,Emaravirus,128.78,1189.7,10.9,2
cluster136,2,1,1,{'Fimoviridae': 1.0},{'Emaravirus': 1.0},Fimoviridae,Emaravirus,59.85,438.3,17.8,5
cluster137,2,1,1,{'Fimoviridae': 1.0},{'Emaravirus': 1.0},Fimoviridae,Emaravirus,34.0,340.0,0.0,5
cluster138,10,1,1,{'Polymycoviridae': 1.0},{'Polymycovirus': 1.0},Polymycoviridae,Polymycovirus,145.1,1140.5,34.5,1
cluster139,10,1,1,{'Polymycoviridae': 1.0},{'Polymycovirus': 1.0},Polymycoviridae,Polymycovirus,88.33,883.3,0.0,2
cluster140,7,1,1,{'Polymycoviridae': 1.0},{'Polymycovirus': 1.0},Polymycoviridae,Polymycovirus,99.41,864.5,14.4,3
cluster141,5,1,1,{'Polymycoviridae': 1.0},{'Polymycovirus': 1.0},Polymycoviridae,Polymycovirus,42.85,428.5,0.0,4
cluster142,3,1,1,{'Polymycoviridae': 1.0},{'Polymycovirus': 1.0},Polymycoviridae,Polymycovirus,49.97,499.7,0.0,4
cluster143,3,1,1,{'Polymycoviridae': 1.0},{'Polymycovirus': 1.0},Polymycoviridae,Polymycovirus,110.53,1105.3,0.0,3
cluster144,3,1,1,{'Polymycoviridae': 1.0},{'Polymycovirus': 1.0},Polymycoviridae,Polymycovirus,41.03,410.3,0.0,4
cluster145,2,1,1,{'Polymycoviridae': 1.0},{'Polymycovirus': 1.0},Polymycoviridae,Polymycovirus,10.31,103.1,0.0,3
cluster146,72,1,1,{'Phenuiviridae': 1.0},{'Phlebovirus': 1.0},Phenuiviridae,Phlebovirus,821.61,1543.5,741.4,M
cluster147,71,1,1,{'Phenuiviridae': 1.0},{'Phlebovirus': 1.0},Phenuiviridae,Phlebovirus,2449.81,2449.0,2449.9,L
cluster148,70,1,1,{'Phenuiviridae': 1.0},{'Phlebovirus': 1.0},Phenuiviridae,Phlebovirus,288.01,258.4,291.3,S
cluster149,28,1,1,{'Phenuiviridae': 1.0},{'Phlebovirus': 1.0},Phenuiviridae,Phlebovirus,47.46,192.0,31.4,S
cluster150,10,1,1,{'Phenuiviridae': 1.0},{'Phlebovirus': 1.0},Phenuiviridae,Phlebovirus,86.48,456.2,45.4,S
cluster151,9,1,1,{'Phenuiviridae': 1.0},{'Phlebovirus': 1.0},Phenuiviridae,Phlebovirus,45.77,339.8,13.1,S
cluster152,7,1,1,{'Phenuiviridae': 1.0},{'Phlebovirus': 1.0},Phenuiviridae,Phlebovirus,56.39,430.7,14.8,S
cluster153,4,1,1,{'Phenuiviridae': 1.0},{'Phlebovirus': 1.0},Phenuiviridae,Phlebovirus,60.86,423.2,20.6,S
cluster154,4,1,1,{'Phenuiviridae': 1.0},{'Phlebovirus': 1.0},Phenuiviridae,Phlebovirus,67.64,556.7,13.3,S
cluster155,3,1,1,{'Phenuiviridae': 1.0},{'Phlebovirus': 1.0},Phenuiviridae,Phlebovirus,54.23,542.3,0.0,S
cluster156,3,1,1,{'Phenuiviridae': 1.0},{'Phlebovirus': 1.0},Phenuiviridae,Phlebovirus,58.1,464.9,12.9,S
cluster157,16,1,1,{'Phenuiviridae': 1.0},{'Uukuvirus': 1.0},Phenuiviridae,Uukuvirus,3282.16,3047.8,3308.2,L
cluster158,13,1,1,{'Phenuiviridae': 1.0},{'Uukuvirus': 1.0},Phenuiviridae,Uukuvirus,333.79,342.7,332.8,S
cluster159,11,1,1,{'Phenuiviridae': 1.0},{'Uukuvirus': 1.0},Phenuiviridae,Uukuvirus,1473.74,1500.2,1470.8,M
cluster160,7,1,1,{'Phenuiviridae': 1.0},{'Uukuvirus': 1.0},Phenuiviridae,Uukuvirus,100.85,377.6,70.1,S
cluster161,3,1,1,{'Phenuiviridae': 1.0},{'Uukuvirus': 1.0},Phenuiviridae,Uukuvirus,474.46,708.1,448.5,S
cluster162,3,1,1,{'Phenuiviridae': 1.0},{'Uukuvirus': 1.0},Phenuiviridae,Uukuvirus,420.38,476.0,414.2,S
cluster163,13,1,1,{'Phenuiviridae': 1.0},{'Bandavirus': 1.0},Phenuiviridae,Bandavirus,1907.59,3406.9,1741.0,L
cluster164,12,1,1,{'Phenuiviridae': 1.0},{'Bandavirus': 1.0},Phenuiviridae,Bandavirus,254.83,400.9,238.6,S
cluster165,12,1,1,{'Phenuiviridae': 1.0},{'Bandavirus': 1.0},Phenuiviridae,Bandavirus,508.3,1383.1,411.1,M
cluster166,8,1,1,{'Phenuiviridae': 1.0},{'Bandavirus': 1.0},Phenuiviridae,Bandavirus,70.54,376.0,36.6,S
cluster167,4,1,1,{'Phenuiviridae': 1.0},{'Bandavirus': 1.0},Phenuiviridae,Bandavirus,101.35,574.3,48.8,S
cluster168,2,1,1,{'Birnaviridae': 1.0},{'Entomobirnavirus': 1.0},Birnaviridae,Entomobirnavirus,526.48,2266.0,333.2,A
cluster169,2,1,1,{'Birnaviridae': 1.0},{'Entomobirnavirus': 1.0},Birnaviridae,Entomobirnavirus,525.39,2211.0,338.1,B
cluster170,3,1,1,{'Phenuiviridae': 1.0},{'Ixovirus': 1.0},Phenuiviridae,Ixovirus,177.0,797.1,108.1,S
cluster171,3,1,1,{'Phenuiviridae': 1.0},{'Ixovirus': 1.0},Phenuiviridae,Ixovirus,1730.69,4336.1,1441.2,L
cluster172,6,1,1,{'Phenuiviridae': 1.0},{'Coguvirus': 1.0},Phenuiviridae,Coguvirus,1801.37,3590.3,1602.6,1
cluster173,6,1,1,{'Phenuiviridae': 1.0},{'Coguvirus': 1.0},Phenuiviridae,Coguvirus,330.79,568.3,304.4,2
cluster174,6,1,1,{'Phenuiviridae': 1.0},{'Coguvirus': 1.0},Phenuiviridae,Coguvirus,228.34,486.1,199.7,2
cluster175,5,1,1,{'Hantaviridae': 1.0},{'Mobatvirus': 1.0},Hantaviridae,Mobatvirus,1976.84,2131.1,1959.7,M
cluster176,5,1,1,{'Hantaviridae': 1.0},{'Mobatvirus': 1.0},Hantaviridae,Mobatvirus,4167.48,4332.0,4149.2,L
cluster177,5,1,1,{'Hantaviridae': 1.0},{'Mobatvirus': 1.0},Hantaviridae,Mobatvirus,775.09,748.9,778.0,S
cluster178,2,1,1,{'Cruliviridae': 1.0},{'Lincruvirus': 1.0},Cruliviridae,Lincruvirus,322.33,2229.7,110.4,M
cluster179,2,1,1,{'Cruliviridae': 1.0},{'Lincruvirus': 1.0},Cruliviridae,Lincruvirus,33.24,214.5,13.1,M
cluster180,2,1,1,{'Cruliviridae': 1.0},{'Lincruvirus': 1.0},Cruliviridae,Lincruvirus,796.06,5297.5,295.9,L
cluster181,2,1,1,{'Cruliviridae': 1.0},{'Lincruvirus': 1.0},Cruliviridae,Lincruvirus,66.84,493.8,19.4,S
cluster182,3,1,1,{'Arenaviridae': 1.0},{'Antennavirus': 1.0},Arenaviridae,Antennavirus,615.68,3838.4,257.6,L
cluster183,3,1,1,{'Arenaviridae': 1.0},{'Antennavirus': 1.0},Arenaviridae,Antennavirus,305.88,1040.1,224.3,S
cluster184,7,1,1,{'Phenuiviridae': 1.0},{'Phasivirus': 1.0},Phenuiviridae,Phasivirus,1438.5,2961.3,1269.3,L
cluster185,6,1,1,{'Phenuiviridae': 1.0},{'Phasivirus': 1.0},Phenuiviridae,Phasivirus,135.55,322.3,114.8,S
cluster186,5,1,1,{'Phenuiviridae': 1.0},{'Phasivirus': 1.0},Phenuiviridae,Phasivirus,437.54,2135.3,248.9,M
cluster187,2,1,1,{'Phenuiviridae': 1.0},{'Phasivirus': 1.0},Phenuiviridae,Phasivirus,501.49,2370.7,293.8,M
cluster188,19,1,1,{'Phasmaviridae': 1.0},{'Orthophasmavirus': 1.0},Phasmaviridae,Orthophasmavirus,1718.13,2744.4,1604.1,L
cluster189,18,1,1,{'Phasmaviridae': 1.0},{'Orthophasmavirus': 1.0},Phasmaviridae,Orthophasmavirus,299.88,737.1,251.3,M
